[0],MPL rotation vector
[1],MPL linear accel
[2],MPL gravity
[3],MPL Gyro
[4],MPL accel
[5],MPL magnetic field
[6],MPL raw magnetic field
[7],MPL Orientation (android deprecated format)
[8],CM36651 Light Sensor
[9],CM36651 Proximity Sensor
[10],BMP180 Pressure Sensor
[11],Screen Orientation Sensor
[12],Orientation Sensor
[13],Gravity Sensor
[14],Linear Acceleration Sensor
[15],Game Rotation Vector Sensor
[16],Uncalibrated Gyroscope Sensor
,
Galaxy III,
